id,name,address,latitude,longitude,category,page,price,rating,review_cnt,call_number,city_id
55,더 그린테이블,더 그린테이블,37.57781,126.98829,프렌치 컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/the-green-table,가격대 약간 높음,4.4,15.0,02-591-2672,9
56,텅 앤 그루브 조인트,텅 앤 그루브 조인트,37.53404,126.99451,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tongue-groove-joint,가격대 보통,4.4,30.0,02-790-7036,11
57,무니,무니,37.52291,127.04545,일식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/muni,가격대 높음,4.0,17.0,02-511-1303,1
58,온,온,37.52192,127.04938,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/on565623,가격대 약간 높음,4.8,12.0,02-547-0467,1
59,스테이,스테이,37.51271,127.10258,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/stay,가격대 높음,3.6,86.0,02-3213-1230,18
60,마포옥,마포옥,37.53983,126.94332,설렁탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mapo-ok,가격대 낮음,,0.0,02-716-6661,3
61,오레노 라멘,오레노 라멘,37.54744,126.91729,라멘,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/oreno-ramen,가격대 낮음,4.4,977.0,02-322-3539,3
62,교양식사,교양식사,37.53592,126.99994,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gyoyang-siksa,가격대 낮음,3.8,53.0,010-7601-4041,11
63,스바루,스바루,37.49234,126.98611,소바,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/subaru,가격대 낮음,3.9,56.0,02-596-4882,5
64,비채나,비채나,37.5126,127.10253,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bicena,가격대 약간 높음,4.2,68.0,02-3213-1261,18
65,황금콩밭,황금콩밭,37.5509,126.9567,두부,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwanggeum-kongbat,가격대 낮음,3.8,258.0,02-313-2952,3
66,남포면옥,남포면옥,37.567269,126.981609,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/nampo-myeonok,가격대 낮음,3.0,362.0,02-777-3131,7
67,황생가 칼국수,황생가 칼국수,37.58003,126.98065,칼국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwangsaengga-kalguksu,가격대 낮음,3.5,501.0,02-739-6334,9
68,줄라이,줄라이,37.49475,127.00008,프렌치 컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/july,가격대 약간 높음,4.2,58.0,02-534-9544,5
69,명동 교자,명동 교자,37.56347,126.984552,칼국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/myeongdong-kyoja,가격대 낮음,3.5,1898.0,02-776-5348,7
70,꼼 모아,꼼 모아,37.54344,126.9877,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/comme-moa,가격대 보통,4.0,20.0,02-6217-5252,11
71,크리스탈 제이드,크리스탈 제이드,37.564311,126.981212,중식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/crystal-jade,가격대 보통,3.8,112.0,02-3789-8088,7
72,만두집,만두집,37.52785,127.03898,만두,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mandujip,가격대 낮음,3.9,161.0,02-544-3710,1
73,진미식당,진미식당,37.55055,126.95577,게장,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jinmi-sikdang,가격대 보통,3.6,180.0,02-3211-4468,3
74,대성집,대성집,37.57269,126.96091,도가니탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/daesungjip,가격대 낮음,4.2,295.0,02-735-4259,9
75,할매집,할매집,37.5755506,126.9715631,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/halmaejip,가격대 낮음,2.9,133.0,02-735-2608,9
76,도우룸,도우룸,37.49379,126.99333,이탤리언,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/doughroom,가격대 보통,4.0,20.0,02-535-9386,5
77,버드나무집,버드나무집,37.48907,127.03118,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/budnamujip,가격대 보통,3.7,60.0,02-3473-4167,5
78,개성만두 궁,개성만두 궁,37.57423,126.98539,만두,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gaeseong-mandu-koong,가격대 낮음,,0.0,02-733-9240,9
79,삼청동 수제비,삼청동 수제비,37.58449,126.89189,수제비,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/samcheongdong-sujebi,가격대 낮음,3.3,120.0,02-735-2965,9
80,정인면옥,정인면옥,37.5307,126.92167,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jungin-myeonok,가격대 낮음,3.6,474.0,02-2683-2615,29
81,랑빠스 81,랑빠스 81,37.56018,126.92521,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/l-empasse-81,가격대 보통,3.8,42.0,070-7779-8181,3
82,곰바위,곰바위,37.51485,127.05885,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gom-ba-wie,가격대 보통,3.3,76.0,02-511-0068,1
83,융캉찌에,융캉찌에,35.15639,129.12424,"국수, 타이완",https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/yongkangzzie,가격대 낮음,,0.0,051-758-6011,6
84,슌사이 쿠보,슌사이 쿠보,35.24088,129.01472,"장어, 일식",https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/shunsai-kubo,가격대 낮음,,0.0,051-365-2959,27
85,바오하우스,바오하우스,35.15488,129.06335,타이완,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/bao-haus,가격대 낮음,3.9,373.0,010-4888-1041,8
86,합천국밥집,합천국밥집,35.11124,129.11127,"돼지국밥, 한식",https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/hapcheon-gukbapjip,가격대 낮음,3.2,211.0,051-622-4898,19
87,델리봉,델리봉,35.15758,129.12153,프렌치,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/delibong,가격대 보통,4.9,10.0,,6
88,언양불고기 부산집,언양불고기 부산집,35.14788,129.11357,불고기,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/eonyang-bulgogi-busanjip,가격대 보통,3.5,113.0,051-754-1004,6
89,나막집,나막집,35.13461,129.11187,돼지국밥,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/namakzip,가격대 낮음,4.0,41.0,,19
90,피오또,피오또,35.16127,129.1833,이탤리언,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/fiotto,가격대 보통,3.5,15.0,,14
91,담택,담택,37.555015,126.923422,라멘,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/damtaek,가격대 낮음,4.4,562.0,02-336-0974,3
92,호라파,호라파,37.57938,126.9711,타이,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/horapa,가격대 낮음,4.6,78.0,02-730-0215,9
93,제로 베이스,제로 베이스,35.15741,129.12097,일식,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/zero-base,가격대 약간 높음,4.8,4.0,,6
94,딤타오,딤타오,35.16394,129.15647,딤섬,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/dim-tao,가격대 낮음,4.0,223.0,051-741-3638,14
95,솔밤,솔밤,37.516,127.03378,"컨템퍼러리, 코리안 컨템퍼러리",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/solbam,가격대 높음,4.5,23.0,070-4405-7788,1
96,리북방,리북방,37.5396777,126.9431187,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/lee-buk-bang,가격대 보통,,0.0,02-720-2345,3
97,사루카메,사루카메,37.56103,126.92267,라멘,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sarukame,가격대 낮음,,0.0,070-999-9999,3
98,아르프,아르프,35.09293,129.04258,비건,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/arp,가격대 낮음,,0.0,,16
99,레스토랑 주은,레스토랑 주은,37.57276,126.96991,"한식, 클래식 퀴진",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-jueun,가격대 약간 높음,4.3,17.0,0502-5550-9312,9
100,원 디그리 노스,원 디그리 노스,37.516773,127.037424,"아시안, 싱가포리안",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/one-degree-north,가격대 낮음,3.9,114.0,070-4333-8884,1
101,정면,정면,37.54551,127.06866,국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jeongmyeon,가격대 낮음,4.6,173.0,070-4798-3592,25
102,셰누 프라이빗 키친,셰누 프라이빗 키친,37.53634,126.98734,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/chez-nous,가격대 보통,4.8,8.0,070-8624-8907,11
103,소수헌,소수헌,37.55294,126.9634,스시,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sosuheon,가격대 높음,4.9,9.0,,7
104,뛰뚜아멍,뛰뚜아멍,37.54969,127.0666,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tutoiement,가격대 높음,5.0,2.0,02-499-9056,2
105,비비재,비비재,35.14795,129.11142,비빔밥,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/bibijae,가격대 낮음,3.9,34.0,070-8287-1035,6
106,스시 마츠모토,스시 마츠모토,37.52535,127.04573,스시,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sushi-matsumoto-1195338,가격대 높음,5.0,8.0,02-543-4334,1
107,코자차,코자차,37.52083,127.05519,아시안,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kojacha,가격대 높음,3.4,12.0,,1
108,키라메키,키라메키,37.51808,127.02822,일식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kirameki,가격대 높음,5.0,4.0,010-3894-2356,1
109,리알토,리알토,37.52318,127.04655,이탤리언,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/rialto,가격대 보통,4.3,32.0,02-544-4761,1
110,소울,소울,37.54533,126.98443,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soul-dining,가격대 약간 높음,4.1,29.0,02-318-7685,11
111,꿉당,꿉당,37.5166307,127.0188926,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ggupdang,가격대 낮음,4.1,274.0,02-545-9600,5
112,면서울,면서울,37.52416,127.03906,국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/myeon-seoul,가격대 낮음,4.0,77.0,010-8377-5156,1
113,차오란,차오란,35.16021,129.16988,"중식, 칸토니즈",https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/chaoran,가격대 높음,2.9,28.0,051-922-1250,14
114,안씨 막걸리,안씨 막걸리,37.53858,126.9874,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mr-ahn-s-craft-makgeolli-1192580,가격대 보통,3.9,64.0,010-4592-3609,11
115,라망 시크레,라망 시크레,37.55983,126.97949,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/l-amant-secret,가격대 높음,4.3,54.0,02-317-4003,7
116,쉐시몽,쉐시몽,37.54015,126.99404,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/chez-simon,가격대 보통,4.5,53.0,02-730-1045,11
117,콘티넨탈,콘티넨탈,37.5558213,127.00517,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/continental,가격대 높음,4.2,33.0,02-2230-3369,7
118,라연,라연,37.555813,127.00517,"한식, 컨템퍼러리",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/la-yeon,가격대 높음,4.3,52.0,02-2230-3367,7
119,제로 컴플렉스,제로 컴플렉스,37.52079,126.99285,이노베이티브,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/zero-complex,가격대 높음,4.1,57.0,02-532-0876,11
120,팔레드 신,팔레드 신,37.55983,126.97949,중식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/palais-de-chine,가격대 약간 높음,3.6,63.0,02-317-4001,7
121,에빗,에빗,37.52334,127.0362,"이노베이티브, 한식",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/evett,가격대 높음,3.9,33.0,0507-1399-1029,1
122,물랑,물랑,37.5814682,126.9718836,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/moulin,가격대 약간 높음,4.2,36.0,070-4404-7978,9
123,옳음,옳음,37.52451,127.04266,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/olh-eum,가격대 높음,,0.0,02-549-2016,1
124,게방식당,게방식당,37.51727,127.03942,게장,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gebang-sikdang,가격대 낮음,3.1,46.0,010-8479-1107,1
125,밍글스,밍글스,37.52535,127.04426,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mingles,가격대 높음,4.3,97.0,02-515-7306,1
126,익스퀴진,익스퀴진,37.5211374,127.04969,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/exquisine,가격대 약간 높음,4.2,59.0,02-542-6921,1
127,미나미,미나미,37.4933,127.0181,소바,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/minami,가격대 낮음,2.6,118.0,02-522-0373,5
128,진미 평양냉면,진미 평양냉면,37.516114,127.036202,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jinmi-pyungyang-naengmyeon,가격대 낮음,3.8,631.0,02-515-3469,1
129,하동관,하동관,37.56439,126.98501,곰탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hadongkwan,가격대 낮음,2.6,416.0,02-776-5656,7
130,우래옥,우래옥,37.56815,126.99866,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/woo-lae-oak,가격대 낮음,4.1,1471.0,02-2265-0151,7
131,양양 메밀 막국수,양양 메밀 막국수,37.49247,126.98826,메밀국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yangyang-memil-makguksu,가격대 낮음,3.7,90.0,02-3482-3738,5
132,옥동식,옥동식,37.55261,126.91449,돼지국밥,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdongsik,가격대 낮음,3.9,498.0,010-5571-9915,3
133,우가,우가,37.52432,127.03734,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/wooga,가격대 약간 높음,3.9,33.0,02-6272-2223,1
134,금돼지식당,금돼지식당,37.55705,127.01165,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/geumdwaeji-sikdang,가격대 낮음,,0.0,0507-1307-8750,7
135,필동면옥,필동면옥,37.56035,126.99689,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pildong-myeonok,가격대 낮음,3.7,785.0,02-2266-2611,7
136,평양면옥,평양면옥,37.56325,127.00664,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pyeongyang-myeonok,가격대 낮음,3.6,482.0,02-2267-7784,7
137,류니끄,류니끄,37.52291,127.03599,이노베이티브,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ryunique,가격대 높음,4.0,11.0,02-546-9279,1
138,구복만두,구복만두,37.54501,126.97318,딤섬,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/goobok-mandu,가격대 낮음,3.7,421.0,02-797-8656,11
139,역전회관,역전회관,37.566,126.947,불고기,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yukjeon-hoekwan,가격대 보통,,0.0,02-703-0019,3
140,테이블 포 포,테이블 포 포,37.53468,127.00523,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/table-for-four,가격대 보통,3.7,56.0,010-2905-6832,11
141,용금옥,용금옥,37.57972,126.97088,추어탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yonggeumok,가격대 낮음,3.4,36.0,02-777-4749,9
